pais;tipo_dato;gastos_duracion;periodo;total
Total;Tasa de variación anual;Gasto total;2021-05-01;
Total;Tasa de variación anual;Gasto total;2021-04-01;
Total;Tasa de variación anual;Gasto total;2021-03-01;-74.98
Total;Tasa de variación anual;Gasto total;2021-02-01;-93.24
Total;Tasa de variación anual;Gasto total;2021-01-01;-90.4
Total;Tasa de variación anual;Gasto total;2020-12-01;-86.09
Total;Tasa de variación anual;Gasto total;2020-11-01;-90.48
Total;Tasa de variación anual;Gasto total;2020-10-01;-89.61
Total;Tasa de variación anual;Gasto total;2020-09-01;-89.97
Total;Tasa de variación anual;Gasto total;2020-08-01;-79.01
Total;Tasa de variación anual;Gasto total;2020-07-01;-79.42
Total;Tasa de variación anual;Gasto total;2020-06-01;-98.62
Total;Tasa de variación anual;Gasto total;2020-05-01;-10-010
Total;Tasa de variación anual;Gasto total;2020-04-01;-10-010
Total;Tasa de variación anual;Gasto total;2020-03-01;-63.98
Total;Tasa de variación anual;Gasto total;2020-02-01;2.81
Total;Tasa de variación anual;Gasto total;2020-01-01;1.89
Total;Tasa de variación anual;Gasto total;2019-12-01;0.03
Total;Tasa de variación anual;Gasto total;2019-11-01;3.56
Total;Tasa de variación anual;Gasto total;2019-10-01;1.93
Total;Tasa de variación anual;Gasto total;2019-09-01;0.75
Total;Tasa de variación anual;Gasto total;2019-08-01;2.14
Total;Tasa de variación anual;Gasto total;2019-07-01;1.65
Total;Tasa de variación anual;Gasto total;2019-06-01;3.36
Total;Tasa de variación anual;Gasto total;2019-05-01;-0.21
Total;Tasa de variación anual;Gasto total;2019-04-01;6.57
Total;Tasa de variación anual;Gasto total;2019-03-01;5.38
Total;Tasa de variación anual;Gasto total;2019-02-01;2.7
Total;Tasa de variación anual;Gasto total;2019-01-01;3.41
Total;Tasa de variación anual;Gasto total;2018-12-01;10.57
Total;Tasa de variación anual;Gasto total;2018-11-01;5.3
Total;Tasa de variación anual;Gasto total;2018-10-01;4.82
Total;Tasa de variación anual;Gasto total;2018-09-01;0.73
Total;Tasa de variación anual;Gasto total;2018-08-01;1.05
Total;Tasa de variación anual;Gasto total;2018-07-01;-0.87
Total;Tasa de variación anual;Gasto total;2018-06-01;4.26
Total;Tasa de variación anual;Gasto total;2018-05-01;2.88
Total;Tasa de variación anual;Gasto total;2018-04-01;-2.37
Total;Tasa de variación anual;Gasto total;2018-03-01;12.08
Total;Tasa de variación anual;Gasto total;2018-02-01;5.37
Total;Tasa de variación anual;Gasto total;2018-01-01;6.13
Total;Tasa de variación anual;Gasto total;2017-12-01;0.11
Total;Tasa de variación anual;Gasto total;2017-11-01;10.4
Total;Tasa de variación anual;Gasto total;2017-10-01;6.21
Total;Tasa de variación anual;Gasto total;2017-09-01;12.82
Total;Tasa de variación anual;Gasto total;2017-08-01;10.29
Total;Tasa de variación anual;Gasto total;2017-07-01;15.75
Total;Tasa de variación anual;Gasto total;2017-06-01;14.97
Total;Tasa de variación anual;Gasto total;2017-05-01;14.59
Total;Tasa de variación anual;Gasto total;2017-04-01;20.51
Total;Tasa de variación anual;Gasto total;2017-03-01;10.49
Total;Tasa de variación anual;Gasto total;2017-02-01;16.15
Total;Tasa de variación anual;Gasto total;2017-01-01;14.07
Total;Tasa de variación anual;Gasto total;2016-12-01;19.93
Total;Tasa de variación anual;Gasto total;2016-11-01;8.58
Total;Tasa de variación anual;Gasto total;2016-10-01;16.77
Total;Tasa de variación anual;Gasto total;2016-09-01;10.3
Total;Tasa de variación anual;Gasto total;2016-08-01;4.13
Total;Tasa de variación anual;Gasto total;2016-07-01;7.75
Total;Tasa de variación anual;Gasto total;2016-06-01;12.77
Total;Tasa de variación anual;Gasto total;2016-05-01;8.54
Total;Tasa de variación anual;Gasto total;2016-04-01;4.22
Total;Tasa de variación anual;Gasto total;2016-03-01;9.43
Total;Tasa de variación anual;Gasto total;2016-02-01;8.02
Total;Tasa de variación anual;Gasto total;2016-01-01;3.62
Total;Tasa de variación anual;Gasto total;2015-12-01;9.42
Total;Tasa de variación anual;Gasto total;2015-11-01;12.19
Total;Tasa de variación anual;Gasto total;2015-10-01;4.06
Total;Tasa de variación anual;Gasto medio por persona;2025-02-01;-0.04
Total;Tasa de variación anual;Gasto medio por persona;2025-01-01;2.72
Total;Tasa de variación anual;Gasto medio por persona;2024-12-01;5.93
Total;Tasa de variación anual;Gasto medio por persona;2024-11-01;5.06
Total;Tasa de variación anual;Gasto medio por persona;2024-10-01;5.51
Total;Tasa de variación anual;Gasto medio por persona;2024-09-01;3.22
Total;Tasa de variación anual;Gasto medio por persona;2024-08-01;5.29
Total;Tasa de variación anual;Gasto medio por persona;2024-07-01;4.19
Total;Tasa de variación anual;Gasto medio por persona;2024-06-01;4.06
Total;Tasa de variación anual;Gasto medio por persona;2024-05-01;7.3
Total;Tasa de variación anual;Gasto medio por persona;2024-04-01;4.21
Total;Tasa de variación anual;Gasto medio por persona;2024-03-01;6.96
Total;Tasa de variación anual;Gasto medio por persona;2024-02-01;8.39
Total;Tasa de variación anual;Gasto medio por persona;2024-01-01;8.65
Total;Tasa de variación anual;Gasto medio por persona;2023-12-01;7.24
Total;Tasa de variación anual;Gasto medio por persona;2023-11-01;4.21
Total;Tasa de variación anual;Gasto medio por persona;2023-10-01;8.66
Total;Tasa de variación anual;Gasto medio por persona;2023-09-01;8.06
Total;Tasa de variación anual;Gasto medio por persona;2023-08-01;4.71
Total;Tasa de variación anual;Gasto medio por persona;2023-07-01;4.8
Total;Tasa de variación anual;Gasto medio por persona;2023-06-01;6.08
Total;Tasa de variación anual;Gasto medio por persona;2023-05-01;2.19
Total;Tasa de variación anual;Gasto medio por persona;2023-04-01;3.36
Total;Tasa de variación anual;Gasto medio por persona;2023-03-01;1.1
Total;Tasa de variación anual;Gasto medio por persona;2023-02-01;4.57
Total;Tasa de variación anual;Gasto medio por persona;2023-01-01;3.82
Total;Tasa de variación anual;Gasto medio por persona;2022-12-01;5.79
Total;Tasa de variación anual;Gasto medio por persona;2022-11-01;10.97
Total;Tasa de variación anual;Gasto medio por persona;2022-10-01;6.35
Total;Tasa de variación anual;Gasto medio por persona;2022-09-01;9.68
Total;Tasa de variación anual;Gasto medio por persona;2022-08-01;12.16
Total;Tasa de variación anual;Gasto medio por persona;2022-07-01;10.13
Total;Tasa de variación anual;Gasto medio por persona;2022-06-01;10.17
Total;Tasa de variación anual;Gasto medio por persona;2022-05-01;12.46
Total;Tasa de variación anual;Gasto medio por persona;2022-04-01;6.52
Total;Tasa de variación anual;Gasto medio por persona;2022-03-01;13.57
Total;Tasa de variación anual;Gasto medio por persona;2022-02-01;4.49
Total;Tasa de variación anual;Gasto medio por persona;2022-01-01;16.35
Total;Tasa de variación anual;Gasto medio por persona;2021-12-01;11.75
Total;Tasa de variación anual;Gasto medio por persona;2021-11-01;6.04
Total;Tasa de variación anual;Gasto medio por persona;2021-10-01;28.57
Total;Tasa de variación anual;Gasto medio por persona;2021-09-01;26.8
Total;Tasa de variación anual;Gasto medio por persona;2021-08-01;12.94
Total;Tasa de variación anual;Gasto medio por persona;2021-07-01;19.21
Total;Tasa de variación anual;Gasto medio por persona;2021-06-01;66.7
Total;Tasa de variación anual;Gasto medio por persona;2021-05-01;
Total;Tasa de variación anual;Gasto medio por persona;2021-04-01;
Total;Tasa de variación anual;Gasto medio por persona;2021-03-01;1.69
Total;Tasa de variación anual;Gasto medio por persona;2021-02-01;5.04
Total;Tasa de variación anual;Gasto medio por persona;2021-01-01;-9.45
Total;Tasa de variación anual;Gasto medio por persona;2020-12-01;-7.76
Total;Tasa de variación anual;Gasto medio por persona;2020-11-01;-2.99
Total;Tasa de variación anual;Gasto medio por persona;2020-10-01;-22.79
Total;Tasa de variación anual;Gasto medio por persona;2020-09-01;-22.11
Total;Tasa de variación anual;Gasto medio por persona;2020-08-01;-12-01.99
Total;Tasa de variación anual;Gasto medio por persona;2020-07-01;-17.55
Total;Tasa de variación anual;Gasto medio por persona;2020-06-01;-40.22
Total;Tasa de variación anual;Gasto medio por persona;2020-05-01;-10-010
Total;Tasa de variación anual;Gasto medio por persona;2020-04-01;-10-010
Total;Tasa de variación anual;Gasto medio por persona;2020-03-01;1.89
Total;Tasa de variación anual;Gasto medio por persona;2020-02-01;1.72
Total;Tasa de variación anual;Gasto medio por persona;2020-01-01;3.44
Total;Tasa de variación anual;Gasto medio por persona;2019-12-01;1.19
Total;Tasa de variación anual;Gasto medio por persona;2019-11-01;0.93
Total;Tasa de variación anual;Gasto medio por persona;2019-10-01;2.77
Total;Tasa de variación anual;Gasto medio por persona;2019-09-01;1.74
Total;Tasa de variación anual;Gasto medio por persona;2019-08-01;2.72
Total;Tasa de variación anual;Gasto medio por persona;2019-07-01;3.16
Total;Tasa de variación anual;Gasto medio por persona;2019-06-01;0.09
Total;Tasa de variación anual;Gasto medio por persona;2019-05-01;1.89
Total;Tasa de variación anual;Gasto medio por persona;2019-04-01;1.11
Total;Tasa de variación anual;Gasto medio por persona;2019-03-01;0.6
Total;Tasa de variación anual;Gasto medio por persona;2019-02-01;-1.1
Total;Tasa de variación anual;Gasto medio por persona;2019-01-01;1.21
Total;Tasa de variación anual;Gasto medio por persona;2018-12-01;1.12
Total;Tasa de variación anual;Gasto medio por persona;2018-11-01;1.95
Total;Tasa de variación anual;Gasto medio por persona;2018-10-01;-0.39
Total;Tasa de variación anual;Gasto medio por persona;2018-09-01;0.11
Total;Tasa de variación anual;Gasto medio por persona;2018-08-01;3.26
Total;Tasa de variación anual;Gasto medio por persona;2018-07-01;3.81
Total;Tasa de variación anual;Gasto medio por persona;2018-06-01;2.77
Total;Tasa de variación anual;Gasto medio por persona;2018-05-01;1.82
Total;Tasa de variación anual;Gasto medio por persona;2018-04-01;1.97
Total;Tasa de variación anual;Gasto medio por persona;2018-03-01;2.12
Total;Tasa de variación anual;Gasto medio por persona;2018-02-01;2.9
Total;Tasa de variación anual;Gasto medio por persona;2018-01-01;0.94
Total;Tasa de variación anual;Gasto medio por persona;2017-12-01;0.31
Total;Tasa de variación anual;Gasto medio por persona;2017-11-01;3
Total;Tasa de variación anual;Gasto medio por persona;2017-10-01;4.28
Total;Tasa de variación anual;Gasto medio por persona;2017-09-01;0.82
Total;Tasa de variación anual;Gasto medio por persona;2017-08-01;6.37
Total;Tasa de variación anual;Gasto medio por persona;2017-07-01;5.3
Total;Tasa de variación anual;Gasto medio por persona;2017-06-01;2.98
Total;Tasa de variación anual;Gasto medio por persona;2017-05-01;1.82
Total;Tasa de variación anual;Gasto medio por persona;2017-04-01;3.57
Total;Tasa de variación anual;Gasto medio por persona;2017-03-01;4.04
Total;Tasa de variación anual;Gasto medio por persona;2017-02-01;3.73
Total;Tasa de variación anual;Gasto medio por persona;2017-01-01;2.99
Total;Tasa de variación anual;Gasto medio por persona;2016-12-01;5.58
Total;Tasa de variación anual;Gasto medio por persona;2016-11-01;-0.52
Total;Tasa de variación anual;Gasto medio por persona;2016-10-01;5.23
Total;Tasa de variación anual;Gasto medio por persona;2016-09-01;0.71
Total;Tasa de variación anual;Gasto medio por persona;2016-08-01;-2.08
Total;Tasa de variación anual;Gasto medio por persona;2016-07-01;-2.03
Total;Tasa de variación anual;Gasto medio por persona;2016-06-01;-0.11
Total;Tasa de variación anual;Gasto medio por persona;2016-05-01;0.33
Total;Tasa de variación anual;Gasto medio por persona;2016-04-01;-6.6
Total;Tasa de variación anual;Gasto medio por persona;2016-03-01;-5.21
Total;Tasa de variación anual;Gasto medio por persona;2016-02-01;-5.2
Total;Tasa de variación anual;Gasto medio por persona;2016-01-01;-6.68
Total;Tasa de variación anual;Gasto medio por persona;2015-12-01;1.39
Total;Tasa de variación anual;Gasto medio por persona;2015-11-01;1.47
Total;Tasa de variación anual;Gasto medio por persona;2015-10-01;-4.43
Total;Tasa de variación anual;Gasto medio diario por persona;2025-02-01;5.5
Total;Tasa de variación anual;Gasto medio diario por persona;2025-01-01;4.26
Total;Tasa de variación anual;Gasto medio diario por persona;2024-12-01;6.73
Total;Tasa de variación anual;Gasto medio diario por persona;2024-11-01;2.49
Total;Tasa de variación anual;Gasto medio diario por persona;2024-10-01;3.11
Total;Tasa de variación anual;Gasto medio diario por persona;2024-09-01;3.93
Total;Tasa de variación anual;Gasto medio diario por persona;2024-08-01;9.19
Total;Tasa de variación anual;Gasto medio diario por persona;2024-07-01;2.54
Total;Tasa de variación anual;Gasto medio diario por persona;2024-06-01;2.27
Total;Tasa de variación anual;Gasto medio diario por persona;2024-05-01;9.01
Total;Tasa de variación anual;Gasto medio diario por persona;2024-04-01;6.43
Total;Tasa de variación anual;Gasto medio diario por persona;2024-03-01;5.6
Total;Tasa de variación anual;Gasto medio diario por persona;2024-02-01;5.81
Total;Tasa de variación anual;Gasto medio diario por persona;2024-01-01;6.14
Total;Tasa de variación anual;Gasto medio diario por persona;2023-12-01;2.28
Total;Tasa de variación anual;Gasto medio diario por persona;2023-11-01;4.56
Total;Tasa de variación anual;Gasto medio diario por persona;2023-10-01;10.56
Total;Tasa de variación anual;Gasto medio diario por persona;2023-09-01;10.11
Total;Tasa de variación anual;Gasto medio diario por persona;2023-08-01;6.2
Total;Tasa de variación anual;Gasto medio diario por persona;2023-07-01;12.87
Total;Tasa de variación anual;Gasto medio diario por persona;2023-06-01;10.59
Total;Tasa de variación anual;Gasto medio diario por persona;2023-05-01;6.73
Total;Tasa de variación anual;Gasto medio diario por persona;2023-04-01;12
Total;Tasa de variación anual;Gasto medio diario por persona;2023-03-01;8.3
Total;Tasa de variación anual;Gasto medio diario por persona;2023-02-01;19.75
Total;Tasa de variación anual;Gasto medio diario por persona;2023-01-01;19.97
Total;Tasa de variación anual;Gasto medio diario por persona;2022-12-01;15.75
Total;Tasa de variación anual;Gasto medio diario por persona;2022-11-01;17.1
Total;Tasa de variación anual;Gasto medio diario por persona;2022-10-01;19.94
Total;Tasa de variación anual;Gasto medio diario por persona;2022-09-01;23.79
Total;Tasa de variación anual;Gasto medio diario por persona;2022-08-01;20.56
Total;Tasa de variación anual;Gasto medio diario por persona;2022-07-01;17.12
Total;Tasa de variación anual;Gasto medio diario por persona;2022-06-01;18.21
Total;Tasa de variación anual;Gasto medio diario por persona;2022-05-01;25.37
Total;Tasa de variación anual;Gasto medio diario por persona;2022-04-01;18.41
Total;Tasa de variación anual;Gasto medio diario por persona;2022-03-01;20.5
Total;Tasa de variación anual;Gasto medio diario por persona;2022-02-01;15.65
Total;Tasa de variación anual;Gasto medio diario por persona;2022-01-01;17.12
Total;Tasa de variación anual;Gasto medio diario por persona;2021-12-01;14.81
Total;Tasa de variación anual;Gasto medio diario por persona;2021-11-01;14.26
Total;Tasa de variación anual;Gasto medio diario por persona;2021-10-01;31.54
Total;Tasa de variación anual;Gasto medio diario por persona;2021-09-01;28.8
Total;Tasa de variación anual;Gasto medio diario por persona;2021-08-01;15.1
Total;Tasa de variación anual;Gasto medio diario por persona;2021-07-01;16.39
Total;Tasa de variación anual;Gasto medio diario por persona;2021-06-01;34.94
Total;Tasa de variación anual;Gasto medio diario por persona;2021-05-01;
Total;Tasa de variación anual;Gasto medio diario por persona;2021-04-01;
Total;Tasa de variación anual;Gasto medio diario por persona;2021-03-01;-15.08
Total;Tasa de variación anual;Gasto medio diario por persona;2021-02-01;-22.01
